hash filename family author
1a1c9d1dc1ae7fcff92e3c3499864b75 af-synthesis_stb_50_200_4_unsat.cnf.xz maxsat-optimum cherif
1a20d903db74ab566efc68a35e6b0ec5 hwmcc20miters-iso-rast-p11.sanitized.cnf.xz hardware-miter biere
1afa2d7a3d817c3149da432eece66da8 worker_550_550_550_0.3.cnf.xz scheduling xindi
1b0f4ff7984b8d4cf2873200fb1680fb af-synthesis_stb_50_140_1_unsat.cnf.xz maxsat-optimum cherif
1b3c7ac17705be94daaddb5f5ae4816b rook-56-0-0.cnf.xz rooks manthey
1e0da402100982e53001a64281149dd9 linked_list_swap_contents_safety_unwind63.cnf.xz software-verification osama
1e3c3e8d349759b8b482a6f2721762c4 apn-sbox5-cut3-symmbreak.cnf.xz cryptography soos
1e74212168124b696531fed471b480b1 mdp-32-10-unsat.cnf.xz minimum-disagreement-parity bryant
1ea68d0008f01c50a1e4fec77dd0775e REGRandom-K4-L1-Seed30.sanitized.cnf.xz reg-n shuolinli
1f44da3598ccf8bcbe9a90fb1b2f1ebd REGRandom-K3-L3-Seed25.sanitized.cnf.xz reg-n shuolinli
207b28c3cefc55b143259222cbfd4962 pcmax-scheduling-m37-28831-324346-SAT.sanitized.cnf.xz scheduling schreiber
210fe1c0ffefde5bcd03d59b1efa6984 32_325.sanitized.cnf.xz hardware-miter jinjinliu
2115182958f6cfb5a172a24f989b86dd rook-42-0-1.cnf.xz rooks manthey
22b4cf412c811872d6ba5078106aeb6c j3037_10_rggt_b.cnf.xz scheduling shuolinli
23daec2c71ce3c1e346e6042f3dc42eb mdp-32-14-unsat.cnf.xz minimum-disagreement-parity bryant
24bdfb34654b1aa703fae31ea91e7c7f tseitin_d3_n158.sanitized.cnf.xz tseitin-formulas oertel
25447f441df2f134223d3e43319c99ad lec_mult_CvW_12x11.sanitized.cnf.xz hardware-miter kochemazov
25cc054738293c0d9377d7b72b78a341 string_compare_safety_cbmc_unwinding_900.cnf.xz software-verification osama
26254890fa7107f85242ec9190da2a7a 002.cnf.xz cryptography nossum
26b648475cfd06695a17ac95f4469744 128_75.sanitized.cnf.xz hardware-miter jinjinliu
278aa933fdef642f33fb02a2b18717c1 lec_mult_DvK_11x10.sanitized.cnf.xz hardware-miter kochemazov
282a02a1743eb47c6b340e52ecce40a2 lru_6.sanitized.cnf.xz hardware-miter jinjinliu
29ab150158d641568f888e8401d2ac13 bmc_QICE_snp_vld_30.cnf.xz hardware-model-checking xindi
29d86d9a3b85c349e10ad68d7a713da2 1-ZC-512-K-63.sanitized.cnf.xz independent-set manyem
29e61b1317804fb897e84237613d42bb worker_30_60_25_0.9.cnf.xz scheduling xindi
2a15a30186afdad41a49c5c5366d01be Timetable_C_392_E_62_Cl_26_S_28.cnf.xz scheduling djamegni
2a53e9c6a25a50d753a94ead66065826 mp1-ps_5000_21250_3_0_0.8_0_1.50_6.cnf.xz popularity-similarity levy
2b032f8a8976a302ad125eb50a3e8445 1-ZC-512-K-60.sanitized.cnf.xz independent-set manyem
2b043efb4bde6d83f7c95a8e8e2d7bf8 simon-r21-0.sanitized.cnf.xz cryptography-simon yuhangqian
2b60f9be1439f63b7f174c6b8ca7fedf sgen1-unsat-121-100.cnf.xz sgen spence
2b8a711debc3a6edd01e7b4e305342d9 REGRandom-K4-L2-Seed35.sanitized.cnf.xz reg-n shuolinli
2c3c28f6d939d157e909c57a265fc908 mchess_17.cnf.xz mutilated-chessboard porkhunov
2d6d26e1c5b4f2763c03697a6d00d3cf fixedbandwidth-eq-31_shuffled.cnf.xz subset-cardinality elffers
2dd4b14a8a820e7baa073554ae2c6cb0 rphp_p8_r160.sanitized.cnf.xz relativized-pigeon-hole oertel
2eb039a5aa6bfb6e41d3afd41071ca55 ER_500_30_3.apx_1_DC-ST.cnf.xz argumentation niskanen
2fcd8533eba981967292f1b6e41f7433 simon-r20-0.sanitized.cnf.xz cryptography-simon yuhangqian
303480ca7e8322d771c94caf4ebd4e95 circuit_48in64out_with_700gates_4in4out_dist128_seed1.sanitized.cnf.xz random-circuits franck
305ad7d773d6c72be9b1efbf7bf482e0 asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf.xz cryptography-ascon manthey
30f0db845937bbda3ffde60e5ed4cb3f Folkman-190-66337703.sanitized.cnf.xz heule-folkman heule
3129198788f182ce6955b18aa3c7e61e simon-r24-1.sanitized.cnf.xz cryptography-simon yuhangqian
3184e52e950ac39095a801c418f68d50 mdp-28-10-unsat.cnf.xz minimum-disagreement-parity bryant
31bb67fe67e57dbeb8c4819b01892588 hwmcc17miters-xits-iso-oski15a08b08s.sanitized.cnf.xz hardware-miter biere
31e788a12ddc8b43ec20e77d53abaa23 pcmax-scheduling-m40-26287-324155-SAT.sanitized.cnf.xz scheduling schreiber
32585e66749f42e161e94fc49fd64750 pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf.xz scheduling schreiber
334aa882de28856fc8c75885285d2a3c HCP-446-105.cnf.xz hamiltonian-cycle heule
34fa0922e66aee3b6f6ffe1760f459d4 f9idw.cnf.xz hardware-verification manolios
35789168b67a74985804902008251269 tseitingrid6x200_shuffled.cnf.xz tseitin-formulas elffers
3593875d75d6e836a3ac328c5426c1b5 Break_18_32.xml.cnf.xz scheduling lester
36dbc206c7d9773bebb03f752070cee9 tseitin_grid_n11_m20.sanitized.cnf.xz tseitin-formulas oertel
37a11ae189df2834a3f294736f34608f mdp-28-16-unsat.cnf.xz minimum-disagreement-parity bryant
37ca184832fc6fa43a22ae900f1756a2 circuit_32in32out_with_350gates_6in6out_dist64_seed1.sanitized.cnf.xz random-circuits franck
385042a6042a0df5ddfec6e17f285ae7 lec_mult_CvD_11x11.sanitized.cnf.xz hardware-miter kochemazov
39277cab188349aee0f229cb7341b5c5 crafted_n12_d6_c4_num23.cnf.xz graph-isomorphism mugrauer
396fd56f3fd7b85afbba4254ea6e746c circuit_32in32out_with_80gates_7in7out_dist128_seed1.sanitized.cnf.xz random-circuits franck
3988a60c6e93167763c6fd2a347d5859 Break_08_24.xml.cnf.xz scheduling lester
39fba35826ce8c87cd8e8de1969b2dd2 SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf.xz subgraph-isomorphism anton
3a75ad246dbc750a7391ad887c5b0835 x9-11093.sat.sanitized.cnf.xz knights-tour sterten
3b59c5d9b6729f39c8483446701f4ed0 g2-T93.2.1.cnf.xz cril-misc frioux
3bf8ba6bb4e4ea9ad08b1b058661ba2e summle_X4044_steps7_I1-2-2-4-4-8-25-100.cnf.xz summle manthey
3c6e1d1c4b8d3d08aa4c1df3805f4f7d x9-10031.sat.sanitized.cnf.xz knights-tour sterten
3ed56242f55e3653dbceeb4a70221787 rbsat-v945c61409gyes9-sc2009.cnf.xz rbsat huang
4073757aae06fc2b50c043f088b132b4 simon-r19-1.sanitized.cnf.xz cryptography-simon yuhangqian
40737c2f46512069d54b0d2bb3b47a20 ER_400_20_4.apx_2_DC-AD.cnf.xz argumentation niskanen
4106867bc76b8794330a205cf8a303ad bvsub_19952.smt2.cnf.xz bitvector preiner
41f4cb4992a481c9d43e2e1a4e2349ac sgen1-sat-180-100.cnf.xz sgen spence
4214f45042f8c504f9837afaec88bf8f ER_400_20_7.apx_2_DC-AD.cnf.xz argumentation niskanen
425c81fc3af7f5124b6282583d80df11 mdp-32-12-unsat.cnf.xz minimum-disagreement-parity bryant
43e492bccfd57029b758897b17d7f04f pb_300_09_lb_07.cnf.xz scheduling mayer-eichberger
44c25de7963c45e92a2407ad839f6e8b Break_20_72.xml.cnf.xz scheduling lester
44fd38bd0c5fc7336be468161dee4eda post-cbmc-aes-ee-r3-noholes.cnf.xz software-verification post
4517202fdd0ccc8a97d83684b021ea96 VanDerWaerden_2-3-14_186.cnf.xz waerden kullmann
45a09efb026036ff4b8d19024a7563a9 fermat-931960058139995587.cnf.xz fermat riveros
461df1a7056560279d532bc2743022b6 Folkman-185-75415683.sanitized.cnf.xz heule-folkman heule
462d72f9b78ab1cd080667ff12a114ac lec_mult_CvK_12x12.sanitized.cnf.xz hardware-miter kochemazov
46d75199933980fdb856f13e5b1817dd 1-TC-256-K-64.sanitized.cnf.xz independent-set manyem
475803537529d9d14a034957f48a6d38 x9-09076.sat.sanitized.cnf.xz knights-tour sterten
479b1413f8bd1d6fc0723856ffca9792 constraints_18_0.4_2.sanitized.cnf.xz quantum-kochen-specker zhengyu
47e1ada0070708c2953d322c06aea00d noL-11-8.sanitized.cnf.xz heule-nol heule
4a8285a53f30b35016b0c85ea17ba155 1-TC-256-K-68.sanitized.cnf.xz independent-set manyem
4be4ae25aae88528bc10f8369bba86df ER_400_20_4.apx_1_DC-AD.cnf.xz argumentation niskanen
4c54efa61599e33d514bf718ff23ad09 lec_mult_CvK_12x11.sanitized.cnf.xz hardware-miter kochemazov
4d7f6efbae05b66ffbbd509a430d57f8 stb_418_125.apx_1_DC-ST.cnf.xz argumentation niskanen
4e366e723d75fe39bf6db9a24ffb059b Dodecahedron-k7.cnf.xz clique-width heule
4f2d6659b5c9bf594ea12e3e1a85799f mdp-32-11-unsat.cnf.xz minimum-disagreement-parity bryant
50019e4419d48196bb4b95933a8b5030 noL-11-14.sanitized.cnf.xz heule-nol heule
511a2d81661a185c2115daec42270dec circuit_32in32out_with_500gates_6in6out_dist64_seed1.sanitized.cnf.xz random-circuits franck
52aaf653a79ca14fa1127cda32aa94ce noL-11-10.sanitized.cnf.xz heule-nol heule
5411047bc24f4321f0e490e01e4a0910 goldcrest-and-9.cnf.xz risc-instruction-removal-golcrest fleury
5432e4dd44480fadbd66647db1750c80 pcmax-scheduling-m24-24102-255206-SAT.sanitized.cnf.xz scheduling schreiber
543e67dd5abc272c37775b1b742a1d9a qwh.60.1728.shuffled-as.sat03-1659.cnf.xz quasigroup-completion gomes
54c2da6d387a6f5ad6e014ae4d4decfc x9-10038.sat.sanitized.cnf.xz knights-tour sterten
55199d55fa9c3751a525d6c0a0e649bd WS_500_16_90_70.apx_2_DC-AD.cnf.xz argumentation niskanen
556cf803f9de4b2ec688825b5ff7e325 tseitin_d3_n174.sanitized.cnf.xz tseitin-formulas oertel
5690b9b0380aa9508699e56cae5918b5 170058440.cnf.xz hgen chen
573cc82ec61e01fd6e6308493ee56289 linked_list_swap_contents_safety_unwind80.cnf.xz software-verification osama
576ebc1333f2c466c2dec98792721e1f j3037_9_rggt_b.cnf.xz scheduling shuolinli
57f4ea7ab160d996e38e69fac59869c4 x9-09047.sat.sanitized.cnf.xz knights-tour sterten
5865fb9a6575d2ae6542c36ab96646a9 x9-11088.sat.sanitized.cnf.xz knights-tour sterten
5952b9f18b73dabb531c60e3ac85d26f ctl_4291_567_9_unsat.cnf.xz scheduling kummling
59825ed96dc3bbdbd8789a4870b323ec hcp_CP18_18.cnf.xz knights-problem unknown
5a068ba62fe30e435a76e2ec80896ef4 ITC2021_Middle_1.xml.cnf.xz scheduling lester
5ab3040d8617bf9f4d4cef4e56dcfd03 g2-hwmcc15deep-6s161-k17.cnf.xz hardware-miter biere
5b0f16de2c5419b80b608db37d07d994 lec_mult_KvW_11x10.sanitized.cnf.xz hardware-miter kochemazov
5b5dfab02ce5c12a50be3bc7d7cc42c7 pcmax-scheduling-m15-2352-13561-SAT.sanitized.cnf.xz scheduling schreiber
5cb1ca8fe8a9d9125ea9accd498445f1 stb_531_83.apx_1_DC-ST.cnf.xz argumentation niskanen
5e1c11b77cdf3717b81b957120f0f477 x9-12001.sat.sanitized.cnf.xz knights-tour sterten
5e5fe73a2e0ffc8e19873298566919fb rbsat-v760c43649gyes3.cnf.xz rbsat huang
5ea72bcdccc86bd1a924029f7b81aec5 atco_enc1_opt1_10_15.cnf.xz scheduling stojadinovic
5ee7de2bd112aa39485e79c9d487bf8f simon-r23-1.sanitized.cnf.xz cryptography-simon yuhangqian
6008b958ff6877f32c26b72728df4523 linked_list_swap_contents_safety_unwind76.cnf.xz software-verification osama
6077d4e5f755124ddc84068d6ccb630f Nb44T6.cnf.xz polynomial-multiplication xiao
61069e0e3339af80000b774a041b7d96 constraints_18_0.3_2.sanitized.cnf.xz quantum-kochen-specker zhengyu
62dcbf79f5ecef5618c9d9a00311326c pcmax-scheduling-m13-1655-9604-UNSAT.sanitized.cnf.xz scheduling schreiber
634a271f5fe339007a186539d615e92f noL-11-4.sanitized.cnf.xz heule-nol heule
63732c330adb8de8dd47ce1693b86d0e FmlaEquivChain_4_8_8.sanitized.cnf.xz equivalence-chain-principle sambuss
6543793076c30fc7cdfa5a3c819cedc7 oisc-subrv-sll-nested-11.cnf.xz risc-instruction-removal-subrv fleury
65c5a5d228ec5e52d1a72f918086f584 32_100.sanitized.cnf.xz hardware-miter jinjinliu
67b4844c4bfbaf961cbbd79b953aa5c2 stb_588_138.apx_1_DC-AD.cnf.xz argumentation niskanen
67c533489a498495525efee429340958 cliquecolouring_n15_k9_c8.sanitized.cnf.xz clique-coloring oertel
695e287a447fcdd924985a6e73057a38 rbsat-v1150c84314gyes1.cnf.xz rbsat huang
6969c86fbc5814332ab8615031334fa8 asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf.xz cryptography-ascon manthey
697c96ac45534726c7dbd96faa11a86a x9-11094.sat.sanitized.cnf.xz knights-tour sterten
69e34d0f49c71a7e145d8104ebe0273f sokoban-p16.sas.ex.15-sc2016.cnf.xz planning balyo
6a674acad2aeac729ecb39ad9e4a2298 1-ZC-1024-K-116.sanitized.cnf.xz independent-set manyem
6add7e416c1126607afeb2666af330ac constraints_16_0.5_1.sanitized.cnf.xz quantum-kochen-specker zhengyu
6c52aca5b5fd284bf1940b84df90a367 1-TC-256-K-71.sanitized.cnf.xz independent-set manyem
6f0e236c999de0a5e3c46fd3463b1d0d rook-56-1-1.cnf.xz rooks manthey
6f4df706246d29bf38adadd274fadab3 SGI_30_60_19_60_6-dir.shuffled-as.sat03-112.cnf.xz subgraph-isomorphism anton
6f7a0e1cf94b6b26eafc08a827a692ce circuit_64in64out_with_64gates_8in5out_dist256_seed1.sanitized.cnf.xz random-circuits franck
6fc528fc3d0fd5a2c50992feb8bf0357 pcmax-scheduling-m24-17855-226744-SAT.sanitized.cnf.xz scheduling schreiber
7083b70c1976162e2693d7a493717ffd battleship-14-26-sat.cnf.xz battleship skvortsov
70bfbd054dc9ffd394fab32845b492d3 circuit_32in32out_with_100gates_7in7out_dist64_seed2.sanitized.cnf.xz random-circuits franck
70ef2b6bdc4101a0e35cf3d165571fe3 qwh.50.1250.shuffled-as.sat03-1655.cnf.xz quasigroup-completion gomes
71a3dd6156463c0c55c4b38394faa753 af-synthesis_stb_50_120_4_sat.cnf.xz maxsat-optimum cherif
71ec94c233016219e12d671594dc88e5 circuit_32in32out_with_70gates_7in7out_dist128_seed1.sanitized.cnf.xz random-circuits franck
72c0d81e16d91bcaed808efcde2e5069 Folkman-175-1251868.sanitized.cnf.xz heule-folkman heule
7429e380834066c206394139c9e1e17d af-synthesis_stb_50_100_9_sat.cnf.xz maxsat-optimum cherif
74f145bb935650f5c982d7eec6967945 pcmax-scheduling-m43-38782-385402-SAT.sanitized.cnf.xz scheduling schreiber
761651d4b6454108403bdefe22720fb3 constraints_18_0.5_2.sanitized.cnf.xz quantum-kochen-specker zhengyu
768956cc8d1f2d18ae1929f6bb26557a cliquecolouring_n13_k8_c7.sanitized.cnf.xz clique-coloring oertel
773f3bd29e202ff700d8b5b459857a2c Folkman-175-9054056.sanitized.cnf.xz heule-folkman heule
778e0fd8f034b7cfd539b1b523ed4c4a lec_mult_CvW_12x12.sanitized.cnf.xz hardware-miter kochemazov
77b7f7bbf75faaee28f473b9941de103 Folkman-185-19924337.sanitized.cnf.xz heule-folkman heule
792495b57d6145fd21d7076eab2ab06a grs-64-64.cnf.xz grs-fp-comm fleury
79b9e24dd9af185dbec18c9b0a32b1e2 g2-slp-synthesis-aes-top30.cnf.xz cryptography fuhs
7ac7fabd8c078aea420087a0c80e5563 circuit_32in32out_with_400gates_6in6out_dist64_seed1.sanitized.cnf.xz random-circuits franck
7b48f9354d25521bd542d859c0ecdde9 hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf.xz hardware-miter biere
7b9d8b9b31b530effd634f5a8f1f4411 stb_531_83.apx_2_DC-ST.cnf.xz argumentation niskanen
7cbc3ce2052ba7c5b501f75af58ab3c4 simon-r22-1.sanitized.cnf.xz cryptography-simon yuhangqian
7db30d12cb06f0dc2f30abff80d96d6a two-trees-1023v.sanitized.cnf.xz binary-tree-parity pakin
7dc0e1b5fedbd8351907f1316b58e68f 1-ZC-512-K-65.sanitized.cnf.xz independent-set manyem
7e1d279559b202016e5797901e731a39 simon-r25-0.sanitized.cnf.xz cryptography-simon yuhangqian
7f1c7da531539f3be4a1e0e916913086 pcmax-scheduling-m19-2974-16501-UNSAT.sanitized.cnf.xz scheduling schreiber
7f2b4b2bde9b866b93fbfe01341213da asconhashv12_opt64_H5_M2-xEJ8F_m0_3_U5.c.cnf.xz cryptography-ascon manthey
7f7109dce621ef361a72b3e8cee9a962 Break_unsat_06_07.xml.cnf.xz scheduling lester
7fb202a51c0223f3119887a57086ca4d x9-09051.sat.sanitized.cnf.xz knights-tour sterten
7fca438c38e5b7a70e38778ec146cfe0 ctl_4291_567_2_unsat-sc2013.cnf.xz scheduling kummling
812926407774771b3bd9885f7bfa4841 lru_9.sanitized.cnf.xz hardware-miter jinjinliu
82d9e8d2cfea101dfe52c8359b7bb163 af-synthesis_stb_50_40_2_unsat.cnf.xz maxsat-optimum cherif
83b330c934d6dd35d56e1b1ca3638b3c j3037_1_mdd_b.cnf.xz scheduling shuolinli
83dc8f675657b3e6d148ef5cf897fb82 openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf.xz planning rintanen
84c6d7e4a18aacf166105aaa3cd6e3de 128_100.sanitized.cnf.xz hardware-miter jinjinliu
8530c911b75ab1b276042043d118a875 constraints_16_0.4_1.sanitized.cnf.xz quantum-kochen-specker zhengyu
8704094951693f99fd21403a039c8131 mchess_16.cnf.xz mutilated-chessboard porkhunov
878bcc11e1e243680f7946bcf428f465 linked_list_swap_contents_safety_unwind45.cnf.xz software-verification osama
88d151d4e3c6ba9bd78454de141cd108 T105.2.0.cnf.xz cril-misc frioux
88e89266e58f1f125ebc4e0f66e2c060 32_200.sanitized.cnf.xz hardware-miter jinjinliu
8942dca5dc0876fc3f723f738d72de1c circuit_32in32out_with_64gates_8in6out_dist128_seed2.sanitized.cnf.xz random-circuits franck
897acc1858ce0887f286aba5c0d56d71 Nb13T165.cnf.xz polynomial-multiplication xiao
8b18bb75459a4161633ba2a3c8ee183e x9-11062.sat.sanitized.cnf.xz knights-tour sterten
8b31606e10656ff7eb2936262b647443 stable-300-0.1-20-98765432130020.cnf.xz argumentation wallner
8b91c5bf4dfd87ffb46c5ef88a3ef1cd lec_mult_DvW_12x11.sanitized.cnf.xz hardware-miter kochemazov
8bf63d50ebdb645b75a24370b8f94d31 sokoban-p20.sas.cr.25.cnf.xz planning balyo
8d2dfc50c1759dc11a6564d5c368c6df FmlaImplyChain_3_7_8.sanitized.cnf.xz equivalence-chain-principle sambuss
8d4b50ec0cf99097e9ab0835937afee5 hwmcc17miters-xits-iso-6s281b35.sanitized.cnf.xz hardware-miter biere
8e720686372c5037f30b4fc7b1c71d48 constraints_17_0.4_1.sanitized.cnf.xz quantum-kochen-specker zhengyu
8ffd718f763ed7a3f691cf46e57f8d98 mdp-32-10-sat.cnf.xz minimum-disagreement-parity bryant
907e7dc703e16ad2c7e56a33fe3b3e5f manol-pipe-g10bid_i.cnf.xz hardware-verification manolios
912ce8c21d8fb8abc491cb205ec23e9f hwmcc20miters-iso-mul2.sanitized.cnf.xz hardware-miter biere
915a25bd189357e4c6d7771b69a6849f x9-09004.sat.sanitized.cnf.xz knights-tour sterten
91e0db01b254eb78f6643328045bfeb9 sted5_0x1e3-20.cnf.xz stedman-triples johnson
9276ce38c625b2d00de247f8588f1542 combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.cnf.xz cryptography soos
94571e8a1081385029d1ecd53ffcdf8e af-synthesis_stb_50_200_0_unsat.cnf.xz maxsat-optimum cherif
94dd280b1562ee7dae44b303b8fed233 Break_unsat_18_31.xml.cnf.xz scheduling lester
96a6796405061571e12d383efe27b703 WS_500_16_70_10.apx_1_DC-ST.cnf.xz argumentation niskanen
973d699ec01b88da869233a79aaa1912 cliquecolouring_n13_k9_c8.sanitized.cnf.xz clique-coloring oertel
9777418f75e1dfbd7d34e9b0ba4bf0b5 grs-64-128.cnf.xz grs-fp-comm fleury
994783ef4ed3a0366842e1b6f9128a6f noL-11-6.sanitized.cnf.xz heule-nol heule
9a06700729bf3426beb8a62040f92960 mdp-36-12-unsat.cnf.xz minimum-disagreement-parity bryant
9cd3acdb765c15163bc239ae3a57f880 FmlaEquivChain_4_6_6.sanitized.cnf.xz equivalence-chain-principle sambuss
9d9c4fa425282759eb9e98b82fb5f56e x9-12087.sat.sanitized.cnf.xz knights-tour sterten
9dcbf221b8d2bb01f30bcca283f3608d EDP3-11000.cnf.xz erdos-discrepancy heule
9e6c2e7b0d6f58e449716deb9305525a circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf.xz random-circuits franck
9e749596a8de36d8ab706c96cf128455 WS_500_16_70_10.apx_2_DC-AD.cnf.xz argumentation niskanen
9e85aad5707405fb349c6c5548040cf4 pcmax-scheduling-m35-32274-371389-SAT.sanitized.cnf.xz scheduling schreiber
a08e66296d00f480e9ccadd79fa8b904 j3045_4_gmto_b.cnf.xz scheduling shuolinli
